dbr:Julian_Melchiori	wd:Q6307383
dbr:Xing_Xin	wd:Q14556922
dbr:Corr_u00E8_ze	wd:Q3326
dbr:True_Lies	wd:Q110397
dbr:Jackie_u0027_s_Strength	wd:Q3805696
dbr:Ten_Seconds_to_Hell	wd:Q928508
dbr:Sgt_u002E__Pepper_u0027_s_Lonely_Hearts_Club_Band	wd:Q169226
dbr:Weekend__u0028_1967_film_u0029_	wd:Q1812267
dbr:Judgment_Night__u0028_The_Twilight_Zone_u0029_	wd:Q2629777
dbr:Alanna_u003A__The_First_Adventure	wd:Q4708265
dbr:Quintet__u0028_film_u0029_	wd:Q1663598
dbr:Julia_Stiles	wd:Q210120
dbr:Utrecht	wd:Q803
dbr:President_Elect__u0028_video_game_u0029_	wd:Q7241220
dbr:Amazing__u0028_Matt_Cardle_song_u0029_	wd:Q4740774
dbr:Paradox_Interactive	wd:Q217493
dbr:Utada_Hikaru	wd:Q234598
dbr:UFO_u003A__A_Day_in_the_Life	wd:Q7864527
dbr:5_u002E_15	wd:Q2817753
dbr:Waqt_Hamara_Hai	wd:Q7968334
dbr:Garcia_Domingos	wd:Q3095340
dbr:Unconsecrated__u0028_album_u0029_	wd:Q7882917
dbr:Filmworks_IX_u003A__Trembling_Before_G_u002D_d	wd:Q646514
dbr:Drawing_Black_Lines	wd:Q5306035
dbr:I_u0027_ve_Got_It_Made	wd:Q5967229
dbr:Jos_u00E9__Justo_Corro	wd:Q1208264
dbr:Remi_Adefarasin	wd:Q1889725
dbr:M_u0027_Sendo_Kololo	wd:Q5147857
dbr:Netaji_Subhas_Chandra_Bose_u003A__The_Forgotten_Hero	wd:Q6998619
dbr:Shakermaker	wd:Q2566005
dbr:Freaks_of_Nature__u0028_Kansas_album_u0029_	wd:Q384988
dbr:Lewiston_u002C__Maine	wd:Q501170
dbr:Ludacris	wd:Q193676
dbr:Tide_Light_Rail	wd:Q646388
dbr:Don_u0027_t_Love_You_No_More__u0028_I_u0027_m_Sorry_u0029_	wd:Q4207118
dbr:Dave_Piontek	wd:Q3703047
dbr:Athens	wd:Q1524
dbr:Collins_Crime_Club	wd:Q5147368
dbr:Torpedo_Run	wd:Q955016
dbr:A_Song_Is_Born	wd:Q2258019
dbr:Mammad_Yusif_Jafarov	wd:Q4159986
dbr:Stanley_Park_Ecology_Society	wd:Q17055036
dbr:Talk_to_Her	wd:Q478780
dbr:Gudgudee	wd:Q3031312
dbr:Star_Trek_u003A__Voyager	wd:Q156329
dbr:Wilkes_u002D_Barre_u002C__Pennsylvania	wd:Q745594
dbr:Elvis_Presley	wd:Q303
dbr:Woody_Allen	wd:Q25089
dbr:Be_Here_to_Love_Me	wd:Q4875510
dbr:The_Yard_Went_On_Forever	wd:Q7776507
dbr:Joseph_Pevney	wd:Q1350636
dbr:The_Tip_u002D_Off	wd:Q7769459
dbr:Ricochet__u0028_film_u0029_	wd:Q1030652
dbr:The_General_u0027_s_Daughter__u0028_film_u0029_	wd:Q1425487
dbr:Vinodayathra	wd:Q7932757
dbr:Billy_Gilman__u0028_album_u0029_	wd:Q1382551
dbr:The_Rookie__u0028_2002_film_u0029_	wd:Q1212198
dbr:Sam_Hamad	wd:Q921062
dbr:North_Central_College	wd:Q7054728
dbr:Ko__u0028_film_u0029_	wd:Q3531952
dbr:Encore__u0028_Eminem_album_u0029_	wd:Q638412
dbr:Jhansi_Ki_Rani__u0028_1953_film_u0029_	wd:Q19892209
dbr:Hans_Jenisch	wd:Q85391
dbr:Y_Not	wd:Q1930395
dbr:Dance_of_the_Dead__u0028_Masters_of_Horror_u0029_	wd:Q2028248
dbr:Doug_Mohns	wd:Q942663
dbr:Doggumentary	wd:Q1234717
dbr:Seven_Sinners__u0028_1936_film_u0029_	wd:Q7457416
dbr:Political_satire	wd:Q7225114
dbr:Desire__u0028_Pharoahe_Monch_album_u0029_	wd:Q3024434
dbr:Dark_Shadows__u0028_film_u0029_	wd:Q323318
dbr:Peter_Weller	wd:Q360477
dbr:Serge_Aubin	wd:Q2272413
dbr:Stupid_Spoiled_Whore_Video_Playset	wd:Q785573
dbr:Yesterday_u0027_s_Men	wd:Q8052955
dbr:Bob_Yari	wd:Q1969128
dbr:Eimai_To_Simera_Kai_Eisai_To_Chthes	wd:Q5349545
dbr:The_Isle_of_Forgotten_Women	wd:Q945964
dbr:Jules_of_the_Strong_Heart	wd:Q13423777
