dbr:Hkamti_District	wd:Q15224287
dbr:Stephen_G_u002E__Larson	wd:Q7609272
dbr:Ten_North_Frederick__u0028_film_u0029_	wd:Q3517947
dbr:Mitta_Miraasu	wd:Q6883431
dbr:Grown_Ups__u0028_film_u0029_	wd:Q121810
dbr:The_Man_in_Grey	wd:Q3203688
dbr:High_Noon	wd:Q245208
dbr:Figure_of_Eight__u0028_song_u0029_	wd:Q3646597
dbr:Past_and_Present__u0028_1972_film_u0029_	wd:Q2091425
dbr:Ky_u014D_ry_u016B__Sentai_Zyuranger	wd:Q1138953
dbr:Where_Do_Broken_Hearts_Go	wd:Q1406320
dbr:Point_of_Know_Return__u0028_song_u0029_	wd:Q7208230
dbr:Shirley_MacLaine	wd:Q95026
dbr:Johannesburg	wd:Q34647
dbr:Wolfgang_Clemen	wd:Q2589392
dbr:Times_Like_These__u0028_song_u0029_	wd:Q3084166
dbr:Somebody_Help_Me	wd:Q7559553
dbr:Shakedown__u0028_1950_film_u0029_	wd:Q5382033
dbr:The_Bedford_Incident	wd:Q244929
dbr:Bolu	wd:Q200951
dbr:You_Won_u0027_t_Forget_About_Me	wd:Q3572770
dbr:Blake_Lewis	wd:Q556615
dbr:Paris_Underground__u0028_film_u0029_	wd:Q285762
dbr:Bill_Baker__u0028_ice_hockey_u0029_	wd:Q434482
dbr:World_Trade_Center__u0028_film_u0029_	wd:Q828547
dbr:Colombia	wd:Q739
dbr:Sunnyside__u0028_film_u0029_	wd:Q759443
dbr:Superman_u003A__Brainiac_Attacks	wd:Q2650295
dbr:Lawrence_Tierney	wd:Q212532
dbr:Devasthanam__u0028_film_u0029_	wd:Q5266594
dbr:The_Dean_Martin_Comedy_World	wd:Q7729390
dbr:The_Battle__u0028_1911_film_u0029_	wd:Q1985718
dbr:The_Rest_Is_Silence__u0028_1959_film_u0029_	wd:Q1196480
dbr:Big_Trouble_in_Little_China	wd:Q859494
dbr:Joseph_MacDonald__u0028_footballer_u0029_	wd:Q6285200
dbr:Shabestar_County	wd:Q1291739
dbr:Gus_Van_Sant	wd:Q25186
dbr:Chandler_Parsons	wd:Q1061731
dbr:Bill_Szymczyk	wd:Q4911099
dbr:Iowa_State_University	wd:Q1136919
dbr:Jonathan_Penner	wd:Q779352
dbr:Aaron_Rosenberg	wd:Q302605
dbr:Reading_u002C__Pennsylvania	wd:Q237896
dbr:Taito_Corporation	wd:Q1054844
dbr:Oui_mais_u002E__u002E__u002E__non	wd:Q2437401
dbr:Tara_Strong	wd:Q4029
dbr:Toxic_Crusaders	wd:Q1172717
dbr:Seventeen_Seconds	wd:Q853423
dbr:Beethoven_u0027_s_2nd__u0028_film_u0029_	wd:Q1306317
dbr:Aurat__u0028_1967_film_u0029_	wd:Q4822148
dbr:Makin_u0027__Love_Is_Good_for_You	wd:Q4392018
dbr:Minas_Gerais	wd:Q39109
dbr:Pjet_u00EB_r_Gjoka	wd:Q3301397
dbr:Captain_Newman_u002C__M_u002E_D_u002E_	wd:Q1035124
dbr:Love_on_Wheels	wd:Q3264270
dbr:_u00C2_ngelo_Victoriano	wd:Q1145590
dbr:Getaway__u0028_Texas_song_u0029_	wd:Q5554406
dbr:The_Angel_Wore_Red	wd:Q2266283
dbr:The_Gateway_of_the_Moon	wd:Q7735946
dbr:Franz_Xaver_von_Funk	wd:Q91494
dbr:Life__u0028_NBC_TV_series_u0029_	wd:Q941419
dbr:Heaven_Can_Wait__u0028_Sandra_song_u0029_	wd:Q5694644
dbr:Parole_u002C__Inc_u002E_	wd:Q7139398
dbr:Baby_You_u0027_re_Right	wd:Q4838427
dbr:William_Boyd__u0028_actor_u0029_	wd:Q1477751
dbr:Two_Lanes_of_Freedom	wd:Q7859037
dbr:The_War__u0028_The_New_Power_Generation_song_u0029_	wd:Q7773457
dbr:Jon_Grayshon	wd:Q6270800
dbr:Bomberman_Hardball	wd:Q2909715
dbr:The_Ghost_War	wd:Q7736302
dbr:Heather_Graham	wd:Q224026
dbr:Faithless	wd:Q542071
dbr:Salva_Mea	wd:Q7406350
dbr:Andy_Cohen__u0028_television_personality_u0029_	wd:Q2014922
dbr:Mushroomhead__u0028_album_u0029_	wd:Q6941329
dbr:Zakhm	wd:Q4023742
dbr:Randu_Penkuttikal	wd:Q7292033
dbr:Floyd_Crosby	wd:Q1375642
dbr:Red_Nightmare	wd:Q5330298
dbr:Walter_Pidgeon	wd:Q350640
dbr:L_u00E9_on_Spilliaert	wd:Q1394505
dbr:Ascoli_Piceno	wd:Q6624
dbr:Dulhe_Raja	wd:Q5313400
dbr:Slipknot__u0028_band_u0029_	wd:Q254138
dbr:The_Uninvited__u0028_1944_film_u0029_	wd:Q1199728
dbr:The_Vor_Game	wd:Q3655248
dbr:Song_for_America	wd:Q972264
dbr:Conan_and_the_Spider_God	wd:Q5158129
dbr:Clint_Black	wd:Q320264
dbr:Ziegfeld_Follies__u0028_film_u0029_	wd:Q2186004
dbr:Borujen_County	wd:Q1278749
dbr:Mexican_u2013_American_War	wd:Q6683
dbr:Madonna__u0028_entertainer_u0029_	wd:Q1744
dbr:The_Hours__u0028_film_u0029_	wd:Q157044
dbr:Bahujan_Samaj_Party	wd:Q803681
dbr:Dharmendra	wd:Q379157
dbr:Scopula_enucloides	wd:Q7434697
dbr:Don_u0027_t_Need_the_Sun_to_Shine__u0028_To_Make_Me_Smile_u0029_	wd:Q5291837
dbr:Konstantin_Sonin	wd:Q4428814
dbr:Frank_Skinner	wd:Q5489658
dbr:Between_Me_and_You	wd:Q368213
dbr:Adventures_of_a_Teenage_Dragon_Slayer	wd:Q3319158
dbr:Bryansk_Oblast	wd:Q2810
dbr:Ernie_Morrison	wd:Q475405
dbr:Kind_Lady__u0028_1951_film_u0029_	wd:Q3815370
dbr:Victory_Birdseye	wd:Q4242091
dbr:Raj_Babbar	wd:Q3595480
dbr:John_C_u002E__Reynolds	wd:Q3719620
dbr:Talia_Shire	wd:Q108622
dbr:Organ__u0028_music_u0029_	wd:Q1444
dbr:Mena_Suvari	wd:Q223303
dbr:Natpukkaga	wd:Q6980216
dbr:Colin_Moulding	wd:Q3682648
dbr:Terry_Stacey	wd:Q2405781
dbr:Abner_Biberman	wd:Q129386
dbr:Tasmania	wd:Q34366
dbr:Stephen_Baxter__u0028_author_u0029_	wd:Q314416
dbr:Detective_Conan_u003A__The_Lost_Ship_in_the_Sky	wd:Q1204889
dbr:Jackie_Condon	wd:Q1856064
dbr:The_Lash__u0028_1930_film_u0029_	wd:Q7745531
dbr:Miss_MacIntosh_u002C__My_Darling	wd:Q6877000
dbr:I_Just_Wanna_Love_U__u0028_Give_It_2_Me_u0029_	wd:Q5977727
dbr:Showdown__u0028_Pendulum_song_u0029_	wd:Q4049422
dbr:Marion_Leonard	wd:Q1748192
dbr:Lumumba__u0028_film_u0029_	wd:Q3267400
dbr:To_Live__u0028_1937_film_u0029_	wd:Q4015669
dbr:Enlighten_Me	wd:Q5379066
dbr:Il_viale_della_speranza	wd:Q3282673
dbr:Placebo__u0028_band_u0029_	wd:Q484839
dbr:World_Filled_with_Love	wd:Q8035734
dbr:Tress_MacNeille	wd:Q237530
dbr:Prince_Far_I	wd:Q2110365
dbr:Crwn_Thy_Frnicatr	wd:Q3005696
dbr:Going_u0021_	wd:Q2698556
dbr:The_Flight_of_Dragons	wd:Q1612502
dbr:Fort_Wayne_Komets	wd:Q1438814
dbr:Jean_Michel_Jarre	wd:Q104326
dbr:L_u00E9_on_u003A__The_Professional	wd:Q484675
dbr:Gabrielle_Kirk_McDonald	wd:Q1490679
dbr:Dear_Lover__u0028_album_u0029_	wd:Q5246894
dbr:The_Miracle_of_the_Bells	wd:Q842603
dbr:Tom_u00E1__u0161__Net_u00ED_k	wd:Q939158
dbr:Pet_Rescue__u0028_TV_series_u0029_	wd:Q7171551
dbr:Major_Star	wd:Q6738300
dbr:Aksharathettu	wd:Q4701792
dbr:Mrityudand	wd:Q6929606
dbr:The_Physician__u0028_1928_film_u0029_	wd:Q3988718
dbr:Colombiana	wd:Q868329
dbr:James_Dean__u0028_I_Wanna_Know_u0029_	wd:Q12487234
dbr:Missing__u0028_Canadian_TV_series_u0029_	wd:Q584293
dbr:Al_u002D_Rayan_SC	wd:Q311268
dbr:McQ	wd:Q963867
dbr:Little_Bad_Girl	wd:Q2530887
dbr:Fresh_Bones	wd:Q4410048
dbr:Doomed_to_Die	wd:Q5297090
dbr:Seattle_SuperSonics	wd:Q235326
dbr:Homeland_Union	wd:Q81556
dbr:Alexander_Hay__u0028_mayor_u0029_	wd:Q4719103
dbr:Cherepovets	wd:Q2144
dbr:Alexander_Tettey	wd:Q714282
dbr:Anthony_Adverse	wd:Q1305647
dbr:V_u002E__Madhusudhan_Rao	wd:Q7906125
dbr:Roop_Ki_Rani_Choron_Ka_Raja__u0028_1993_film_u0029_	wd:Q7366352
dbr:Harold_Wilson	wd:Q128956
dbr:Wes_Craven_u0027_s_New_Nightmare	wd:Q636166
dbr:Brad_Pitt	wd:Q35332
dbr:The_Idolmaster_Dearly_Stars	wd:Q7090222
dbr:Marvin_Gaye	wd:Q189758
dbr:Giuseppe_Barison	wd:Q3770064
dbr:The_Telephantasm	wd:Q1702901
dbr:Ida_Lupino	wd:Q148669
dbr:Bob_Joyce	wd:Q825266
dbr:Ang_Tanging_Ina	wd:Q4761878
dbr:Downstairs__u0028_film_u0029_	wd:Q2339917
dbr:Hermanos__u0028_Breaking_Bad_u0029_	wd:Q5741169
dbr:You_Like_Me_Too_Much	wd:Q568291
dbr:Mrs_u002E__Soffel	wd:Q2344050
dbr:Daniel_Br_u00FC_hl	wd:Q58592
dbr:Louisiana_State_University_at_Alexandria	wd:Q13634567
dbr:Madagascar_u003A__Escape_2_Africa	wd:Q188474
dbr:Krrish_3	wd:Q6439145
dbr:William_MacCormac	wd:Q7529670
dbr:Yvonne_De_Carlo	wd:Q286339
dbr:American_Friends	wd:Q468572
dbr:Triple_9	wd:Q17144452
dbr:The_Hunger_Games__u0028_film_u0029_	wd:Q212965
dbr:Martin_Sheen	wd:Q184572
dbr:Richie_Barnett__u0028_rugby_league_u002C__born_1981_u0029_	wd:Q7330473
dbr:Andrew_Loog_Oldham	wd:Q357194
dbr:Larry_Wright__u0028_basketball_u0029_	wd:Q1093489
dbr:Adoor_Bhasi	wd:Q3595596
dbr:Deterrence__u0028_film_u0029_	wd:Q1201169
dbr:David_Swift__u0028_director_u0029_	wd:Q3018855
dbr:Leytonstone	wd:Q1368969
dbr:Shadow_Man__u0028_video_game_u0029_	wd:Q1274056
dbr:The_Omega_Directive	wd:Q1093269
dbr:Indiana_Pacers	wd:Q170329
dbr:The_Formula__u0028_album_u0029_	wd:Q4051083
dbr:The_Dark_Night__u0028_film_u0029_	wd:Q4252486
dbr:Who_u0027_d_Have_Known	wd:Q1969199
dbr:Traktor_Chelyabinsk	wd:Q887198
dbr:Spencer_Compton_u002C__1st_Earl_of_Wilmington	wd:Q270415
dbr:Semnan_Province	wd:Q168949
dbr:Daniel_Bedingfield	wd:Q362251
dbr:Born_to_Dance	wd:Q229547
dbr:Willem_Dafoe	wd:Q188772
dbr:Chelmet_Chelyabinsk	wd:Q1563968
dbr:Electro__u0028_music_u0029_	wd:Q217597
dbr:Robert_Preston__u0028_actor_u0029_	wd:Q451811
dbr:A_Lady_to_Love	wd:Q3878850
dbr:Mike_O_u0027_Malley	wd:Q703484
dbr:Arlandria__u0028_song_u0029_	wd:Q2705927
dbr:University_of_Illinois_at_Urbana_u2013_Champaign	wd:Q457281
dbr:I_u0027_m_Single	wd:Q5966736
dbr:Dunkirk__u0028_TV_series_u0029_	wd:Q5315383
dbr:La_Camisa_Negra	wd:Q2481528
dbr:Genpei_T_u014D_ma_Den	wd:Q5533537
dbr:Mark_Harmon	wd:Q296774
dbr:Pissed_Tae_Th_u0027__Gills	wd:Q7198414
dbr:Cherry_Bomb__u0028_album_u0029_	wd:Q19801185
dbr:The_Arcadians__u0028_film_u0029_	wd:Q7714155
dbr:Three_Men_in_a_Boat__u0028_1956_film_u0029_	wd:Q771687
dbr:Irish_Blood_u002C__English_Heart	wd:Q3802015
dbr:Conan_and_the_Sorcerer	wd:Q5158128
dbr:Russia	wd:Q159
dbr:Master_P	wd:Q722042
dbr:Bob_Dylan	wd:Q392
dbr:Chemnitz	wd:Q2795
dbr:Thank_God_and_Greyhound	wd:Q7710442
dbr:Crisis__u0028_1946_film_u0029_	wd:Q1066211
dbr:Don_u0027_t_Stand_So_Close_to_Me	wd:Q2608208
dbr:SNCF	wd:Q13646
dbr:Creation_Records	wd:Q1139341
dbr:Ahmad_Jamal__u0027_73	wd:Q4695363
dbr:The_Middle_Watch__u0028_1930_film_u0029_	wd:Q7751285
dbr:Naomi_Klein	wd:Q236606
dbr:Mannan__u0028_film_u0029_	wd:Q10998844
dbr:Robert_S_u002E__Smith	wd:Q7349510
dbr:Blackburn	wd:Q188313
dbr:I_Want_to_Go_Home__u0028_film_u0029_	wd:Q2183011
dbr:Andante_u002C__Andante	wd:Q6653684
dbr:Jorge_Veytia	wd:Q6278729
