dbr:Little_Cop	wd:Q13618766
dbr:Lost_Highway__u0028_film_u0029_	wd:Q289204
dbr:Ayumi_Hamasaki	wd:Q188111
dbr:A_Lizard_in_a_Woman_u0027_s_Skin	wd:Q3785495
dbr:_u010C_a_u010D_ak	wd:Q208038
dbr:Francis_Joins_the_WACS	wd:Q378032
dbr:When_Time_Ran_Out	wd:Q1197274
dbr:Parks_and_Recreation	wd:Q218035
dbr:Buck_Owens	wd:Q712353
dbr:Lazarus_Rising_u003A__A_Personal_and_Political_Autobiography	wd:Q6505922
dbr:Green_Dolphin_Street	wd:Q627931
dbr:Plze_u0148_	wd:Q43453
dbr:Christine_Pascal	wd:Q451637
dbr:Sylvia_Plischke	wd:Q432729
dbr:Nirmalamma	wd:Q7040057
dbr:Boman_Irani	wd:Q834338
dbr:Something_Wall_u002D_Mart_This_Way_Comes	wd:Q904979
dbr:Thomas_Newman	wd:Q319996
dbr:Frank_Lautenberg	wd:Q508752
dbr:Chuck_Versus_the_DeLorean	wd:Q5115774
dbr:Bhookailas__u0028_film_u0029_	wd:Q4901967
dbr:Spencer_Abbott__u0028_ice_hockey_u0029_	wd:Q7575976
dbr:Snowflakes_of_Love	wd:Q978072
dbr:Philadelphia_76ers	wd:Q138089
dbr:Alan_Murray__u0028_footballer_u0029_	wd:Q4707398
dbr:Aubrey__u0028_The_X_u002D_Files_u0029_	wd:Q4329882
dbr:Avatar__u0028_2009_film_u0029_	wd:Q24871
dbr:Fort_Algiers	wd:Q3077756
dbr:Hasan_al_u002D_Kharrat	wd:Q12207879
dbr:The_Scarlet_Claw	wd:Q1214031
dbr:Majaa	wd:Q3280427
dbr:Shadowrun__u0028_1993_video_game_u0029_	wd:Q1848990
dbr:Isfahan	wd:Q42053
dbr:Io_non_spezzo_u002E__u002E__u002E__rompo	wd:Q3801198
dbr:New_Castle_County_u002C__Delaware	wd:Q156156
dbr:Paresh_Rawal	wd:Q3123705
dbr:Sri_Krishna_Pandaveeyam	wd:Q11038811
dbr:Ghulam_u002D_E_u002D_Mustafa	wd:Q5557537
dbr:Basic_Instinct_2	wd:Q810012
dbr:Mercury_Rising	wd:Q267321
dbr:Ma_and_Pa_Kettle_at_Waikiki	wd:Q6720898
dbr:Inspired_Abandon	wd:Q6038590
dbr:Winter_Light	wd:Q842067
dbr:Giarabub__u0028_film_u0029_	wd:Q3763790
dbr:M_u00F6_tley_Cr_u00FC_e	wd:Q486688
dbr:Impromptu__u0028_1991_film_u0029_	wd:Q2118505
dbr:Paveh_County	wd:Q393366
dbr:I_u0027_ll_Never_Break_Your_Heart	wd:Q2454890
dbr:Black_Apollo_of_Science	wd:Q4920280
dbr:Faasle	wd:Q5427561
dbr:Cyril_J_u002E__Mockridge	wd:Q328857
dbr:Leonardo_DiCaprio	wd:Q38111
dbr:No_Man_of_Her_Own	wd:Q2747240
dbr:Kyrgyzstan	wd:Q813
dbr:Bones__u0028_Editors_song_u0029_	wd:Q1876217
dbr:Frostproof_u002C__Florida	wd:Q2154354
dbr:Hail_the_Artist	wd:Q1351711
dbr:Paterson_u002C__New_Jersey	wd:Q138391
dbr:White_Heat	wd:Q607337
dbr:Darius_Campbell	wd:Q623933
dbr:Second_Noah	wd:Q3208622
dbr:Cruel_Summer__u0028_film_u0029_	wd:Q5189895
dbr:Blanco_y_Negro_Records	wd:Q881469
dbr:In_Our_Time__u0028_film_u0029_	wd:Q6010360
dbr:Kaviyoor_Ponnamma	wd:Q3595751
dbr:Cadences_obstin_u00E9_es	wd:Q16627184
dbr:Aliens__u0028_film_u0029_	wd:Q104814
dbr:Ardhangi	wd:Q4788033
dbr:Timewind	wd:Q1933643
dbr:M_u002E__Paul_Smith	wd:Q15052596
dbr:Christine_Baranski	wd:Q229134
dbr:Twilight__u0028_1998_film_u0029_	wd:Q748194
dbr:Real_Bout_Fatal_Fury	wd:Q1136894
dbr:Miladin__u0160_obi_u0107_	wd:Q2916298
dbr:The_Magliari	wd:Q130803
dbr:Delray_Beach_u002C__Florida	wd:Q824100
dbr:Jean_Arthur	wd:Q229338
dbr:Baton_Rouge_u002C__Louisiana	wd:Q28218
dbr:Gold__u0028_1974_film_u0029_	wd:Q966003
dbr:The_Gay_Sisters	wd:Q3232718
dbr:Gair	wd:Q5517323
dbr:Rome_11_u003A_00	wd:Q3352892
dbr:The_Door_Between	wd:Q921842
