dbr:Ron_Howard	wd:Q103646
dbr:The_Importance_of_Being_Earnest__u0028_1952_film_u0029_	wd:Q1360769
dbr:The_Dam_Busters__u0028_film_u0029_	wd:Q710850
dbr:Maureen_O_u0027_Sullivan	wd:Q230084
dbr:Balliol_College_u002C__Oxford	wd:Q805285
dbr:The_Catered_Affair	wd:Q1957174
dbr:Nadodi__u0028_1966_film_u0029_	wd:Q6957919
dbr:Exclusive__u0028_album_u0029_	wd:Q994834
dbr:Brothers__u0026__Sisters__u0028_2006_TV_series_u0029_	wd:Q390076
dbr:Widnes_Vikings	wd:Q3567951
dbr:Ar_u00E8_nes_de_Metz	wd:Q3361211
dbr:Billy_West	wd:Q531624
dbr:Willem_Frederik_Reinier_Suringar	wd:Q2499954
dbr:Jason_Jennings	wd:Q3162952
dbr:Domark_Software	wd:Q1235040
dbr:Eastern_Time_Zone	wd:Q941023
dbr:Breakaway__u0028_Kelly_Clarkson_song_u0029_	wd:Q666168
dbr:Lawrence_W_u002E__Steinkraus	wd:Q6504705
dbr:Re_u002D_Arranged	wd:Q3930858
dbr:Travis_Burns	wd:Q7836214
dbr:Lalita_Pawar	wd:Q6480391
dbr:La_fuga__u0028_1964_film_u0029_	wd:Q769507
dbr:The_Man_u002C__the_Woman_and_the_Money	wd:Q1749492
dbr:The_Innocent__u0028_1976_film_u0029_	wd:Q1217069
dbr:Dragnet__u0028_franchise_u0029_	wd:Q16909472
dbr:Waveney	wd:Q642424
dbr:Hull_Kingston_Rovers	wd:Q3143019
dbr:The_E_u002E_N_u002E_D	wd:Q158326
dbr:Gimik	wd:Q5562692
dbr:Janet_Jackson	wd:Q131324
dbr:Treviso	wd:Q5475
dbr:The_Tooth_Fairy_u0027_s_Tats_2000	wd:Q465647
dbr:Kunchacko	wd:Q6444212
dbr:Under_One_Roof__u0028_1995_TV_series_u0029_	wd:Q7883126
dbr:Oumarou_Ganda	wd:Q128704
dbr:12B	wd:Q3534662
dbr:Limp_Bizkit	wd:Q240767
dbr:Bill_Nighy	wd:Q207179
dbr:The_Magic_Whip	wd:Q19317962
dbr:Piero_Umiliani	wd:Q326321
