dbr:Bye_Bye_Love__u0028_film_u0029_	wd:Q1018481
dbr:John_J_u002E__Shea_u002C__Jr_u002E_	wd:Q16089981
dbr:Drohi__u0028_1948_film_u0029_	wd:Q5308217
dbr:Cindy__u0028_film_u0029_	wd:Q814475
dbr:The_Idle_Rich	wd:Q7741366
dbr:Madhavi__u0028_actress_u0029_	wd:Q3595184
dbr:A_Funky_Space_Reincarnation	wd:Q4656887
dbr:Ned_Beatty	wd:Q4212
dbr:Seven_Girlfriends	wd:Q7457266
dbr:Break_Stuff	wd:Q2260730
dbr:Chet_Atkins	wd:Q72096
dbr:Full_Leather_Jacket	wd:Q3442856
dbr:Hanging_Up	wd:Q759712
dbr:Constance_Bennett	wd:Q265358
dbr:Neil_Diamond	wd:Q294531
dbr:The_Wallflowers	wd:Q643005
dbr:Superman_II_u003A__The_Richard_Donner_Cut	wd:Q1292541
dbr:Workington_Town	wd:Q8035013
dbr:Basketball__u0028_song_u0029_	wd:Q4867643
dbr:Change__u0028_The_Alarm_album_u0029_	wd:Q5071781
dbr:Sherilyn_Fenn	wd:Q229993
dbr:Dream_Wife	wd:Q661949
dbr:MyFerryLink	wd:Q3331170
dbr:Atco_Records	wd:Q585643
dbr:Trinidad_and_Tobago	wd:Q754
dbr:Down_by_Law__u0028_film_u0029_	wd:Q192409
dbr:Wanghte	wd:Q7967868
dbr:Edward_F_u002E__Cline	wd:Q1292174
dbr:Prospero_u0027_s_Books	wd:Q1236153
dbr:Stephen_Cooper__u0028_ice_hockey_u0029_	wd:Q7608948
dbr:Illegal_drug_trade	wd:Q844924
dbr:Go_God_Go_XII	wd:Q2060471
dbr:Abza_u002D_e_Sar_Dasht	wd:Q5851108
dbr:Alvania_spinosa	wd:Q4737827
dbr:Broken_Arrow__u0028_TV_series_u0029_	wd:Q3209024
dbr:Borough_of_Tunbridge_Wells	wd:Q894097
dbr:Skylanders_u003A__Swap_Force	wd:Q6303118
dbr:The_Ides_of_March__u0028_film_u0029_	wd:Q543581
dbr:Georges_Delerue	wd:Q435034
